epoch,accuracy,learning_rate,loss,val_accuracy,val_loss,val_macro_f1,val_qwk
0,0.4907633364200592,0.0010000000474974513,1.3655376434326172,0.7372816801071167,1.0654051303863525,0.2729840532446442,0.22854537679571518
1,0.5148112177848816,0.0010000000474974513,1.304988980293274,0.7312073111534119,1.0828766822814941,0.29743731124066086,0.3390751015070812
2,0.5130208134651184,0.0010000000474974513,1.303155541419983,0.7369020581245422,1.0659658908843994,0.3044634794842181,0.2933525994992887
3,0.5167643427848816,0.0005000000237487257,1.2925440073013306,0.7346241474151611,1.0481252670288086,0.3120903915852345,0.34249485104399624
4,0.5232747197151184,0.0005000000237487257,1.2828718423843384,0.7393697500228882,1.0412100553512573,0.30108622095568,0.31548051444705016
0,0.5351969599723816,9.999999747378752e-05,1.2618651390075684,0.7492406964302063,1.0222514867782593,0.35959467196506417,0.4059403743290112
1,0.5644124150276184,9.999999747378752e-05,1.2073237895965576,0.7572133541107178,0.9817833304405212,0.4098379210215807,0.4689751023647435
2,0.5729166865348816,9.999999747378752e-05,1.1881412267684937,0.7165907621383667,1.0647071599960327,0.393463733326423,0.4846649838344276
3,0.5816243290901184,9.999999747378752e-05,1.1688522100448608,0.7471526265144348,1.0130703449249268,0.417819450303336,0.5126429264502166
4,0.6015217900276184,4.999999873689376e-05,1.1305826902389526,0.7427866458892822,0.9820379614830017,0.42212285152662704,0.520580748783206
5,0.6070556640625,4.999999873689376e-05,1.1199135780334473,0.7539863586425781,0.9520699381828308,0.4219966543067346,0.5229446193878118
6,0.6161295771598816,4.999999873689376e-05,1.1003177165985107,0.7456340193748474,0.9898003339767456,0.4185162766202546,0.5395506756740935
7,0.6234130859375,4.999999873689376e-05,1.0879628658294678,0.7378512024879456,0.9924306869506836,0.4186743149855565,0.5417990973956959
8,0.6366373896598816,2.499999936844688e-05,1.0621367692947388,0.7353834509849548,1.003731608390808,0.42509745328292975,0.5288014311270126
9,0.645751953125,2.499999936844688e-05,1.0432019233703613,0.748291552066803,0.9808544516563416,0.42909618255284565,0.5231855149462477
10,0.6525065302848816,1.249999968422344e-05,1.0258430242538452,0.7509491443634033,0.9602089524269104,0.42719956242561324,0.5209391475982699
11,0.6553141474723816,1.249999968422344e-05,1.021693468093872,0.7477220892906189,0.9759611487388611,0.43159602954894405,0.5241689065086235
12,0.6703287959098816,6.24999984211172e-06,1.0005019903182983,0.7433561086654663,0.9775813221931458,0.41849932218580665,0.5316547225864698
13,0.6692708134651184,6.24999984211172e-06,0.9987017512321472,0.7439255714416504,0.9822574257850647,0.4226419379163204,0.5274784148989573
