epoch,acc,loss,macro_f1,val_acc,val_loss,val_macro_f1
0,0.2067057341337204,1.6279572248458862,0.19625690579414368,0.0632118433713913,1.690809726715088,0.06700459867715836
1,0.285888671875,1.5153504610061646,0.2572058141231537,0.09054669737815857,1.8051257133483887,0.08982095867395401
2,0.3352457582950592,1.4509538412094116,0.30808329582214355,0.7029232978820801,1.2405941486358643,0.23289728164672852
3,0.3593343198299408,1.418248176574707,0.3340420126914978,0.18944570422172546,1.3259611129760742,0.18021181225776672
4,0.3910726010799408,1.3896242380142212,0.35739666223526,0.7137433290481567,1.2097431421279907,0.2541784644126892
5,0.3878580629825592,1.362100601196289,0.3668953776359558,0.5958617925643921,1.329780101776123,0.3041531443595886
6,0.4074300229549408,1.3279763460159302,0.38738957047462463,0.6958997845649719,1.1922358274459839,0.3116686940193176
7,0.4131266176700592,1.3173328638076782,0.398670494556427,0.7146924734115601,1.1772328615188599,0.3367064893245697
8,0.4270426332950592,1.291169285774231,0.4132029116153717,0.2587319612503052,1.3614767789840698,0.258964478969574
9,0.428466796875,1.281319260597229,0.4192275106906891,0.20956720411777496,1.3439863920211792,0.2275126427412033
